NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LHipX,LHipY,LKneesX,LKneesY,LAnkleX,LAnkleY,RKneesX,RKneesY,RAnkleX,RAnkleY
210.4212963,117.8369565,164.4351852,124.2065217,119.8425926,146.5,27.87037037,152.8695652,133.7777778,535.0434783,261.9814815,283.4456522,282.8842593,407.6521739,274.5231481,509.5652174,221.5694444,54.14130435
133.7037037,107.173913,87.25925926,122.9347826,66.14814815,211.1956522,39.40740741,274.2391304,76,545.326087,192.8148148,277.3913043,233.6296296,403.4782609,240.6666667,520.1086957,118.2222222,59.89130435
114.5092593,108.2826087,71.74074074,121.0217391,56.56481481,210.1956522,37.25,280.2608696,55.18518519,557.3369565,172.4537037,283.4456522,211.0833333,401.2826087,223.5,519.1195652,97.9537037,60.51086957
121.0416667,103.3043478,72.91666667,132.3586957,91.875,209.8369565,105,258.2608696,56.875,558.4891304,172.0833333,280.8586957,215.8333333,400.3043478,221.6666667,516.5217391,99.16666667,58.10869565
93.00925926,102.7826087,50.49074074,128.4782609,70.4212963,189.5054348,112.9398148,228.048913,85.233,470.999,146.1574074,273.0163043,190.0046296,398.2826087,191.3333333,520.3369565,69.09259259,57.81521739
178.5,103.5,141.1666667,97.75,100.3333333,120.75,18.66666667,92,148.1666667,448.5,224,253,213.5,370.875,207.6666667,485.875,180.8333333,48.875
178.2638889,103.8913043,140.4861111,101.0054348,102.7083333,124.0923913,44.69,145.4444,85.233,470.999,223.125,251.0706522,212.5,369.3913043,206.5972222,487.7119565,179.4444444,51.94565217
190.7037037,104.4782609,149.3009259,116.0869565,120.4444444,130.5978261,77.78703704,133.5,178.1574074,493.3695652,238.3796296,255.3913043,234.6157407,377.2826087,222.0694444,493.3695652,189.4490741,52.23913043
190.2777778,90.80978261,149.6851852,96.66847826,111.6296296,149.3967391,44.69,145.4444,205.5,489.201087,247.3611111,251.923913,247.3611111,380.8152174,225.7962963,486.2717391,183.9351852,52.72826087
211.7222222,127.3913043,165.9444444,127.3913043,124.4583333,146.5,22.88888889,152.8695652,135.9027778,531.8586957,266.0833333,286.6304348,287.5416667,404.4673913,280.3888889,512.75,221.7361111,57.32608696
188.6805556,101.2608696,142.5,107.2173913,105.5555556,169.7608696,35.625,220.3913043,201.875,497.3695652,245.4166667,253.1521739,246.7361111,384.1956522,226.9444444,470.5652174,178.125,56.58695652
171.4027778,90.80978261,125.4166667,102.5271739,93.36574074,172.8315217,54.34722222,219.701087,188.125,480.4130435,229.9305556,246.0652174,234.1111111,374.9565217,211.8148148,462.8369565,160.2546296,46.86956522
133.1666667,100.7065217,86.16666667,112.5543478,66.58333333,195.4891304,41.77777778,239.9184783,147.5277778,497.6086957,188,251.7663043,201.0555556,385.0543478,180.1666667,465.0271739,116.1944444,56.27717391
97.98611111,95.65217391,51.94444444,113.5869565,46.04166667,194.2934783,29.51388889,248.0978261,110.9722222,490.2173913,152.2916667,257.0652174,170,382.6086957,151.1111111,466.3043478,80.27777778,56.79347826
66.01851852,92.66304348,28.75,113.5869565,36.2037037,203.2608696,41.52777778,230.1630435,85.233,470.999,123.5185185,260.0543478,140.5555556,382.6086957,123.5185185,478.2608696,47.91666667,59.7826087
61.66666667,93.67391304,27.75,114.826087,53.23,125.444,44.69,145.4444,85.233,470.999,113.0555556,253.826087,134.6388889,368.6521739,124.3611111,480.4565217,40.08333333,57.41304348
57.22222222,100.076087,26.7037037,118.2717391,43.87037037,163.7608696,44.69,145.4444,85.233,470.999,109.6759259,251.7065217,133.5185185,366.9456522,130.6574074,506.4456522,41.00925926,48.52173913
116.6296296,92.34782609,75.68518519,103.8913043,63.27777778,176.0380435,39.7037037,230.8695652,62.03703704,493.4836957,167.5,253.9565217,186.1111111,360.7336957,165.0185185,487.7119565,105.462963,54.83152174
82.46296296,89.9673913,37.27777778,95.77173913,41.7962963,171.2282609,42.92592593,194.4456522,25.98148148,490.4673913,126.5185185,246.6847826,141.2037037,356.9673913,120.8703704,484.6630435,65.51851852,49.33695652
88.11111111,89.46195652,42.92592593,98.11956522,59.87037037,161.6086957,76.81481481,193.3532609,31.62962963,487.7119565,128.7777778,245.298913,143.462963,354.9619565,119.7407407,487.7119565,68.90740741,49.05978261
81.18981481,92.86956522,44.59722222,98.67391304,65.18055556,148.0108696,93.76851852,174.1304348,26.30092593,490.4673913,123.5,243.7826087,136.0787037,354.0652174,116.6388889,484.6630435,65.18055556,46.43478261
85,87.55434783,53.125,96.30978261,96.80555556,131.3315217,153.4722222,145.923913,27.15277778,499.0597826,126.3194444,253.9076087,129.8611111,356.0543478,115.6944444,487.3858696,66.11111111,46.69565217
113.1481481,100.7065217,75.83333333,112.5543478,49.35185185,142.173913,44.69,145.4444,85.233,470.999,167.3148148,251.7663043,188.9814815,373.2065217,215.462963,497.6086957,86.66666667,53.31521739
85.18518519,98.64130435,48.98148148,107.6086957,35.13888889,206.25,44.69,145.4444,85.233,470.1,138.4259259,257.0652174,149.0740741,370.6521739,168.2407407,502.173913,53.24074074,56.79347826
67.83333333,101.6902174,30.83333333,117.0978261,20.55555556,169.4836957,48.30555556,184.8913043,85.233,470.1001,116.1388889,258.8478261,108.9444444,379.0271739,97.63888889,493.0434783,41.11111111,55.4673913
66.91666667,99.7173913,25.34722222,120.8695652,15.20833333,184.326087,44.69,145.4444,85.233,470.1002,116.5972222,262.8913043,112.5416667,371.673913,118.625,489.5217391,34.47222222,57.41304348
62.5,104.2173913,18.75,113.4130435,16.25,162.4565217,41.66666667,165.5217391,85.233,470.1003,104.1666667,260.5434783,88.54166667,392.3478261,66.66666667,502.6956522,31.25,61.30434783
